trade_id,BioGuideID,Name,Party,Chamber,Ticker,trade_date,Transaction,Trade_Size_USD,sector,anomaly_if,anomaly_svm,anomaly_lof_contextual,anomaly_collective,anomaly_vote_count,anomaly_consensus_2,anomaly_score_ensemble,car_ff3_30d,car_ff3_60d,car_ff3_90d
27878,F000450,Virginia Foxx,R,House,SCHD,2023-03-08,Sale,"$50,001 - $100,000",,0,0,0,0,0,0,0.12915458169375948,-0.010448461899942304,-0.05805032175248591,-0.048275642266786975
27845,F000450,Virginia Foxx,R,House,ARLP,2023-03-10,Purchase,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.15405566164503465,0.15502669884653436,0.013681940980066656,0.014821195357403977
27562,F000450,Virginia Foxx,R,House,VIASP,2023-03-22,Purchase,"$1,001 - $15,000",Utilities,1,0,0,0,1,0,0.2792654699459465,-0.32578930580831067,-0.34830700462408287,-0.21467805076398544
27480,F000450,Virginia Foxx,R,House,PAA,2023-03-24,Purchase,"$15,001 - $50,000",Energy,0,0,0,0,0,0,0.10855262291724165,0.14836276119073852,0.17913321286468495,0.2321567623148358
26439,F000450,Virginia Foxx,R,House,MO,2023-05-01,Purchase,"$1,001 - $15,000",Consumer Defensive,0,0,0,0,0,0,0.10063174715515533,-0.06727023127281889,-0.08097269657547175,-0.073059059823552
26442,F000450,Virginia Foxx,R,House,CRT,2023-05-01,Purchase,"$1,001 - $15,000",Energy,0,1,0,0,1,0,0.3776502007504594,0.3144858501668733,-0.05094974439140765,0.17709124654370792
26267,F000450,Virginia Foxx,R,House,ARLP,2023-05-08,Purchase,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.10176941388378227,-0.08874530492651883,-0.07809130720774168,0.0972259410633582
26191,F000450,Virginia Foxx,R,House,ARLP,2023-05-10,Purchase,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.13038981316926157,-0.07262642706461546,-0.05003345305501361,0.14838127320177114
26063,F000450,Virginia Foxx,R,House,ARLP,2023-05-16,Purchase,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.12248797970103445,-0.07564249476155978,-0.021433930692189962,0.21938316281758422
26075,F000450,Virginia Foxx,R,House,FLNG,2023-05-16,Purchase,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.1516477824445242,-0.06575313684837988,-0.053845278901183014,-0.013687837866663347
26056,F000450,Virginia Foxx,R,House,CRT,2023-05-17,Purchase,"$1,001 - $15,000",Energy,0,1,0,0,1,0,0.22403876727869257,0.07350889595790912,-0.026484139535858833,-0.02981156338302928
24385,F000450,Virginia Foxx,R,House,MO,2023-07-11,Purchase,"$1,001 - $15,000",Consumer Defensive,0,0,0,0,0,0,0.09232132770201501,-0.04805621818733089,-0.04732297734816444,-0.1240673133378016
23827,F000450,Virginia Foxx,R,House,T,2023-08-02,Purchase,"$1,001 - $15,000",Communication Services,0,0,1,0,1,0,0.38491791285788474,0.06071547745964588,0.12451413223759249,0.09873251163467911
23536,F000450,Virginia Foxx,R,House,ARLP,2023-08-16,Purchase,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.09531276480949888,0.15977945053341638,0.16245849379873406,-0.018026014190169373
23287,F000450,Virginia Foxx,R,House,TAK,2023-08-29,Sale,"$15,001 - $50,000",Healthcare,0,0,0,0,0,0,0.25926934425127457,-0.0018446498714540065,-0.09568561719748991,-0.06572896539375334
22694,F000450,Virginia Foxx,R,House,CRT,2023-09-19,Purchase,"$1,001 - $15,000",Energy,0,1,0,0,1,0,0.24615936375263026,-0.11283103563192601,-0.25052401945809044,-0.2833926876546165
22645,F000450,Virginia Foxx,R,House,HTGC,2023-09-21,Purchase,"$1,001 - $15,000",Financial Services,0,0,0,0,0,0,0.09588992968913763,-0.029523831404403247,-0.10339772721754864,-0.03026513181458912
22343,F000450,Virginia Foxx,R,House,CRT,2023-10-02,Purchase,"$1,001 - $15,000",Energy,0,1,0,0,1,0,0.33620354124525137,-0.10970820709561159,-0.2775605358223337,-0.2946837397673782
22341,F000450,Virginia Foxx,R,House,FLNG,2023-10-02,Purchase,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.1765182721165495,0.008728376614894846,-0.11134670232110733,-0.22161775593526814
22130,F000450,Virginia Foxx,R,House,PAA,2023-10-03,Sale,"$15,001 - $50,000",Energy,0,0,0,0,0,0,0.0847302341972794,0.008648960494578944,-0.12928983460938887,-0.050077223675676324
22154,F000450,Virginia Foxx,R,House,HTGC,2023-10-03,Purchase,"$1,001 - $15,000",Financial Services,0,0,0,0,0,0,0.08665631744779581,-0.035589131971221856,-0.08667931446936841,-0.024338829985409344
