trade_id,BioGuideID,Name,Ticker,trade_date,Transaction,anomaly_political_if,anomaly_political_svm,anomaly_political_lof,anomaly_political_consensus,score_political_if
39337,K000389,Ro Khanna,AAPL,2022-01-10,Sale,0,0,0,0,0.47866721142221996
39334,K000389,Ro Khanna,BIIB,2022-01-10,Purchase,0,0,0,0,0.4562298130189438
39335,K000389,Ro Khanna,SBAC,2022-01-10,Sale,0,0,0,0,0.35423073372712943
39321,K000389,Ro Khanna,HBI,2022-01-10,Purchase,0,0,0,0,0.430320286183627
39325,K000389,Ro Khanna,META,2022-01-10,Purchase,0,0,0,0,0.4188182977894752
39299,K000389,Ro Khanna,DG,2022-01-10,Purchase,0,0,0,0,0.3970327010481875
39248,K000389,Ro Khanna,TSN,2022-01-11,Sale,0,0,0,0,0.3540623317639696
39239,K000389,Ro Khanna,NKE,2022-01-11,Purchase,0,0,0,0,0.3540623317639696
39209,K000389,Ro Khanna,KMX,2022-01-11,Sale,0,0,0,0,0.3540623317639696
39204,K000389,Ro Khanna,PNC,2022-01-11,Sale,0,0,0,0,0.3559344728477858
39207,K000389,Ro Khanna,ETSY,2022-01-11,Sale,0,0,0,0,0.3540623317639696
39205,K000389,Ro Khanna,TGT,2022-01-11,Sale,0,0,0,0,0.36825812510494227
39243,K000389,Ro Khanna,CCI,2022-01-11,Sale,0,0,0,0,0.3554419658476676
39208,K000389,Ro Khanna,CRM,2022-01-11,Sale,0,0,0,0,0.37248791454117974
39201,K000389,Ro Khanna,PPG,2022-01-11,Sale,0,0,0,0,0.4004858926879462
39273,K000389,Ro Khanna,EW,2022-01-11,Purchase,0,0,0,0,0.3559344728477858
39275,K000389,Ro Khanna,PAYC,2022-01-11,Purchase,0,0,0,0,0.3559344728477858
39203,K000389,Ro Khanna,EQIX,2022-01-11,Purchase,0,0,0,0,0.3554419658476676
39211,K000389,Ro Khanna,MCO,2022-01-11,Sale,0,0,0,0,0.3559344728477858
39290,K000389,Ro Khanna,TMUS,2022-01-11,Sale,0,0,0,0,0.3559344728477858
39289,K000389,Ro Khanna,VMC,2022-01-11,Sale,0,0,0,0,0.4342758480046919
39287,K000389,Ro Khanna,NFLX,2022-01-11,Sale,0,0,0,0,0.40413193771048145
39272,K000389,Ro Khanna,PH,2022-01-11,Sale,0,0,0,0,0.36705059600033957
39202,K000389,Ro Khanna,CBSH,2022-01-11,Sale,0,0,0,0,0.39737689661501174
39263,K000389,Ro Khanna,CHWY,2022-01-11,Purchase,0,0,0,0,0.39317212736576085
39291,K000389,Ro Khanna,WST,2022-01-11,Sale,0,0,0,0,0.39737689661501174
39285,K000389,Ro Khanna,CCI,2022-01-11,Purchase,0,0,0,0,0.3554419658476676
39247,K000389,Ro Khanna,MSCI,2022-01-11,Purchase,0,0,0,0,0.35543965619011747
39245,K000389,Ro Khanna,GRMN,2022-01-11,Purchase,0,0,0,0,0.35543965619011747
39256,K000389,Ro Khanna,C,2022-01-11,Purchase,0,0,0,0,0.4756672850185322
39274,K000389,Ro Khanna,AMZN,2022-01-11,Sale,0,0,0,0,0.3864755764324112
39271,K000389,Ro Khanna,CTAS,2022-01-11,Sale,0,0,0,0,0.49028823925583026
39244,K000389,Ro Khanna,NVS,2022-01-11,Sale,0,0,1,0,0.4138839631362627
39292,K000389,Ro Khanna,WFC,2022-01-11,Purchase,0,0,0,0,0.35654242927918367
39199,K000389,Ro Khanna,ADBE,2022-01-11,Purchase,0,0,0,0,0.5012925403237117
39249,K000389,Ro Khanna,ZTS,2022-01-11,Sale,0,0,0,0,0.4000457156291734
39251,K000389,Ro Khanna,TXN,2022-01-11,Purchase,0,0,0,0,0.35543965619011747
39252,K000389,Ro Khanna,PG,2022-01-11,Sale,0,0,0,0,0.3535701177387082
39267,K000389,Ro Khanna,ZM,2022-01-11,Sale,0,0,0,0,0.46559264117896176
39254,K000389,Ro Khanna,LH,2022-01-11,Sale,0,0,0,0,0.4030327040609587
39253,K000389,Ro Khanna,JCI,2022-01-11,Sale,0,0,0,0,0.4115309384193531
39257,K000389,Ro Khanna,PM,2022-01-11,Purchase,0,0,0,0,0.4404159910907514
39293,K000389,Ro Khanna,IQV,2022-01-11,Sale,0,0,0,0,0.4002381861667524
39286,K000389,Ro Khanna,BBWI,2022-01-11,Sale,0,0,0,0,0.3948055962832085
39283,K000389,Ro Khanna,TRU,2022-01-11,Sale,0,0,0,0,0.3559344728477858
39288,K000389,Ro Khanna,LEN-B,2022-01-11,Purchase,0,0,0,0,0.3540623317639696
39281,K000389,Ro Khanna,FTV,2022-01-11,Sale,0,0,0,0,0.3559344728477858
39219,K000389,Ro Khanna,QCOM,2022-01-11,Sale,0,0,0,0,0.5479468608182637
39228,K000389,Ro Khanna,DLR,2022-01-11,Sale,0,0,0,0,0.4008337129426836
39258,K000389,Ro Khanna,FND,2022-01-11,Purchase,0,0,0,0,0.39317212736576085
39265,K000389,Ro Khanna,PVH,2022-01-11,Sale,0,0,0,0,0.3535701177387082
39264,K000389,Ro Khanna,CI,2022-01-11,Purchase,0,0,0,0,0.354721562421489
39266,K000389,Ro Khanna,DOCU,2022-01-11,Purchase,0,0,0,0,0.354721562421489
39261,K000389,Ro Khanna,TWLO,2022-01-11,Sale,0,0,0,0,0.354721562421489
39240,K000389,Ro Khanna,COF,2022-01-11,Sale,0,0,0,0,0.4009505511659102
39221,K000389,Ro Khanna,XYL,2022-01-11,Purchase,0,0,0,0,0.367137917446499
39260,K000389,Ro Khanna,SYK,2022-01-11,Purchase,0,0,0,0,0.4937482158743261
39210,K000389,Ro Khanna,VFC,2022-01-11,Purchase,0,0,0,0,0.36825812510494227
39189,K000389,Ro Khanna,ISRG,2022-01-11,Sale,0,0,0,0,0.3559344728477858
39188,K000389,Ro Khanna,BKNG,2022-01-11,Purchase,0,0,0,0,0.3540623317639696
39197,K000389,Ro Khanna,EWBC,2022-01-11,Sale,0,0,0,0,0.37248791454117974
39191,K000389,Ro Khanna,MDT,2022-01-11,Sale,0,0,0,0,0.3559344728477858
39213,K000389,Ro Khanna,ADSK,2022-01-11,Purchase,0,0,0,0,0.3559344728477858
39218,K000389,Ro Khanna,PG,2022-01-11,Sale,0,0,0,0,0.3540623317639696
39238,K000389,Ro Khanna,BIIB,2022-01-11,Purchase,0,0,0,0,0.45881662973940135
